Surah_ID,Surah_Name,Verse_Count,Window_Size,True_H1,Mean_Random_H1,Std_Random_H1,Z_Score
6,Al-An'am,165,20,0.12533468008041382,0.09532462716102601,0.008299834402580327,3.615741165878926
6,Al-An'am,165,25,0.1010022759437561,0.0861379098892212,0.007389825135031478,2.0114638415556487
6,Al-An'am,165,30,0.09655267000198364,0.07902130126953125,0.009199287629299563,1.9057311216811297
6,Al-An'am,165,35,0.07234400510787964,0.07226069569587708,0.00814346331981217,0.010230218855395084
6,Al-An'am,165,40,0.07371723651885986,0.06828161299228669,0.008006516600701482,0.678899925855014
6,Al-An'am,165,45,0.07190948724746704,0.06384695410728454,0.007630697044885332,1.0565919591299484
6,Al-An'am,165,50,0.06833183765411377,0.06051967859268188,0.008301100657457018,0.9410991847706476
20,Taha,135,5,0.17557817697525024,0.15958461463451384,0.011733345231854517,1.363086317218038
20,Taha,135,10,0.16017180681228638,0.11929990708827973,0.01001960776607653,4.079191588954907
20,Taha,135,15,0.11528950929641724,0.09897192478179932,0.009465724235101012,1.7238601198742596
20,Taha,135,20,0.10524868965148926,0.0863152414560318,0.007622169945669202,2.483997120297108
20,Taha,135,25,0.10430550575256348,0.07726300716400146,0.007586354089822298,3.5646238322624164
20,Taha,135,30,0.11718833446502686,0.07113464772701264,0.007302589237898148,6.306487361908571
20,Taha,135,35,0.1189451813697815,0.06769239723682403,0.008193752859037277,6.255104957971528
20,Taha,135,40,0.10963839292526245,0.062184203267097476,0.008198176279559414,5.788383664850307
20,Taha,135,45,0.11219024658203125,0.05851806223392487,0.008993715721477079,5.967743034165144
9,At-Tawbah,129,5,0.16313225030899048,0.15228743255138397,0.010725067149199382,1.0111654879863452
9,At-Tawbah,129,10,0.12327325344085693,0.11469745099544525,0.008799944471295292,0.9745291545174248
9,At-Tawbah,129,15,0.11939191818237305,0.09596537172794342,0.010301783293684424,2.2740282712791506
9,At-Tawbah,129,20,0.09720349311828613,0.08509010553359986,0.00887716116527493,1.364556456637353
9,At-Tawbah,129,25,0.09074652194976807,0.07449531137943267,0.008402559710425441,1.9340785582483597
9,At-Tawbah,129,30,0.09392589330673218,0.06792740762233734,0.008581999280487055,3.029420632032416
9,At-Tawbah,129,35,0.08085078001022339,0.0640594220161438,0.007628505580651467,2.2011333434255183
9,At-Tawbah,129,40,0.07769352197647095,0.058964434862136844,0.00890727116743011,2.102673957296592
16,An-Nahl,128,5,0.16559070348739624,0.16201025009155273,0.01178428429140603,0.3038329106210242
16,An-Nahl,128,10,0.14207684993743896,0.12713911831378938,0.008971052806807244,1.6651035218870653
16,An-Nahl,128,15,0.1516701579093933,0.10739856302738189,0.009668498597580002,4.578952402505646
16,An-Nahl,128,20,0.12911701202392578,0.09316126704216003,0.0092931649853543,3.8690526896305766
16,An-Nahl,128,25,0.12472265958786011,0.0842662513256073,0.00927119548293932,4.363666836353513
16,An-Nahl,128,30,0.1244879961013794,0.07939312040805817,0.010699446792696394,4.214692270267999
16,An-Nahl,128,35,0.08971726894378662,0.0707214742898941,0.00918554361607942,2.068009847630588
16,An-Nahl,128,40,0.0828292965888977,0.06949283301830292,0.01067618580945585,1.2491786681703065
